Time [s],Value,Parity Error,Framing Error
0.106476125,'1' (0x01),,
0.106561125,'3' (0x03),,
0.106646125,'12' (0x0C),,
0.106731125,'0' (0x00),,

0.316029625,'1' (0x01),,
0.316114625,'8' (0x08),,
0.316199625,'252' (0xFC),,
0.316284625,\t (0x09),,
0.316369625,'0' (0x00),,
0.316454625,'161' (0xA1),,
0.31653975,'0' (0x00),,
0.31662475,'0' (0x00),,
0.31670975,'0' (0x00),,
0.31679475,'20' (0x14),,
0.31687975,\r (0x0D),,
0.31696475,'255' (0xFF),,
0.31704975,'0' (0x00),,

0.575996125,'1' (0x01),,
0.576081125,'8' (0x08),,
0.576166125,'252' (0xFC),,
0.576251125,'11' (0x0B),,
0.576336125,'0' (0x00),,
0.576421125,'160' (0xA0),,
0.576506125,'0' (0x00),,
0.576591125,'0' (0x00),,
0.576676125,'0' (0x00),,
0.576761125,'20' (0x14),,
0.576846125,[ (0x5B),,
0.576931125,'255' (0xFF),,
0.577016125,'2' (0x02),,
0.577101125,'3' (0x03),,
0.577186125,'1' (0x01),,

0.79591675,'1' (0x01),,
0.79600175,'8' (0x08),,
0.79608675,'252' (0xFC),,
0.79617175,\t (0x09),,
0.79625675,'0' (0x00),,
0.79634175,'160' (0xA0),,
0.79642675,'0' (0x00),,
0.79651175,'0' (0x00),,
0.79659675,'0' (0x00),,
0.79668175,'20' (0x14),,
0.79676675,'131' (0x83),,
0.79685175,'255' (0xFF),,
0.79693675,'0' (0x00),,

1.0156695,'1' (0x01),,
1.0157545,'8' (0x08),,
1.0158395,'252' (0xFC),,
1.0159245,'16' (0x10),,
1.0160095,'0' (0x00),,
1.0160945,'161' (0xA1),,
1.0161795,'0' (0x00),,
1.0162645,'0' (0x00),,
1.0163495,'0' (0x00),,
1.0164345,'20' (0x14),,
1.0165195,'136' (0x88),,
1.0166045,'255' (0xFF),,
1.0166895,'16' (0x10),,
1.0167745,'6' (0x06),,
1.016859625,'160' (0xA0),,
1.016944625,'1' (0x01),,
1.017029625,'1' (0x01),,
1.017114625,'6' (0x06),,
1.017199625,'2' (0x02),,
1.017284625,'0' (0x00),,

1.2498355,'1' (0x01),,
1.2499205,'19' (0x13),,
1.2500055,'16' (0x10),,
1.2500905,'6' (0x06),,
1.2501755,'158' (0x9E),,
1.250260625,A (0x41),,
1.250345625,'14' (0x0E),,
1.250430625,C (0x43),,
1.250515625,'19' (0x13),,
1.250600625,'0' (0x00),,

1.454563125,'1' (0x01),,
1.454648125,'8' (0x08),,
1.454733125,'252' (0xFC),,
1.454818125,'3' (0x03),,
1.454903125,'0' (0x00),,
1.454988125,'153' (0x99),,
1.455073125,'1' (0x01),,

1.664446,'18' (0x12),,
1.664531,'0' (0x00),,
1.664616,'0' (0x00),,
1.664701,'225' (0xE1),,
1.664786,'1' (0x01),,
1.664871,'11' (0x0B),,
1.664956,'0' (0x00),,
1.665041,'4' (0x04),,
1.665126,'0' (0x00),,
1.665211,'8' (0x08),,
1.665296,P (0x50),,
1.665381,A (0x41),,
1.665466,N (0x4E),,
1.665551,1 (0x31),,
1.665636,0 (0x30),,
1.665721,2 (0x32),,
1.665806,6 (0x36),,
1.665891,A (0x41),,

1.886826375,\r (0x0D),,
1.886911375,'0' (0x00),,
1.886996375,'0' (0x00),,
1.887081375,'225' (0xE1),,
1.887166375,= (0x3D),,
1.887251375,'6' (0x06),,
1.8873365,'0' (0x00),,
1.8874215,$ (0x24),,
1.8875065,'12' (0x0C),,
1.8875915,'3' (0x03),,
1.8876765,'24' (0x18),,
1.8877615,'17' (0x11),,
1.8878465,'192' (0xC0),,

2.109209,'7' (0x07),,
2.109294,'0' (0x00),,
2.109379,'0' (0x00),,
2.109464,'229' (0xE5),,
2.109549,'1' (0x01),,
2.109634,'0' (0x00),,
2.109719,'0' (0x00),,

2.318858125,'8' (0x08),,
2.318943125,'0' (0x00),,
2.319028125,'0' (0x00),,
2.319113125,'225' (0xE1),,
2.319198125,'12' (0x0C),,
2.319283125,'1' (0x01),,
2.319368125,'0' (0x00),,
2.319453125,'3' (0x03),,

2.5285955,'23' (0x17),,
2.5286805,'0' (0x00),,
2.5287655,'0' (0x00),,
2.5288505,'229' (0xE5),,
2.5289355,'3' (0x03),,
2.5290205,'16' (0x10),,
2.5291055,'0' (0x00),,
2.5291905,'158' (0x9E),,
2.5292755,A (0x41),,
2.5293605,'14' (0x0E),,
2.5294455,C (0x43),,
2.5295305,'19' (0x13),,
2.5296155,'0' (0x00),,
2.5297005,'7' (0x07),,
2.5297855,'22' (0x16),,
2.5298705,'0' (0x00),,
2.5299555,'0' (0x00),,
2.5300405,'0' (0x00),,
2.5301255,'0' (0x00),,
2.5302105,'0' (0x00),,
2.5302955,'1' (0x01),,
2.5303805,'5' (0x05),,
2.5304655,'0' (0x00),,
