Time [s],Value,Parity Error,Framing Error
0,0x1F,,
8.5e-005,0x00,,
0.00017,0x00,,
0.000255,0xE1,,
0.00034,0x13,,
0.000425,0x18,,
0.00051,0x00,,
0.000595,0x00,,
0.00068,0xE6,,
0.000765,0x7B,,
0.00085,0xC4,,
0.000935,0x94,,
0.00102,0x0A,,
0.001105,0x38,,
0.00119,0x01,,
0.001275,0xBE,,
0.00136,0x5E,,
0.001445,0x46,,
0.00153,0xFF,,
0.001615,0xC9,,
0.0017,0x0D,,
0.001785,0x8C,,
0.00187,0xC6,,
0.001955,0xF5,,
0.00204,0x7E,,
0.002125,0x17,,
0.00221,0x38,,
0.002295,0x3E,,
0.00238,0xA6,,
0.002465,0x9D,,
0.00255,0x0A,,
0.731916,0x13,,
0.732001,0x00,,
0.732086,0x00,,
0.732171,0xE1,,
0.732256,0x3D,,
0.732341,0x0C,,
0.732426,0x00,,
0.732511,0x2B,,
0.732596,0x04,,
0.732681,0x09,,
0.732766,0xE6,,
0.732851,0x7B,,
0.732936,0xC4,,
0.733021,0x94,,
0.733106,0x0A,,
0.733191,0x38,,
0.733276,0x01,,
0.733361,0x00,,
0.733446,0x03,,
1.375026,0x11,,
1.375111,0x00,,
1.375196,0x00,,
1.375281,0xE1,,
1.375366,0x3D,,
1.375451,0x0A,,
1.375536,0x00,,
1.375621,0x2C,,
1.375706,0x04,,
1.375791,0x06,,
1.375876,0xE6,,
1.375961,0x7B,,
1.376046,0xC4,,
1.376131,0x94,,
1.376216,0x0A,,
1.376301,0x38,,
1.376386,0x00,,
5.293811,0x15,,
5.293896,0x00,,
5.293981,0x00,,
5.294066,0xE5,,
5.294151,0x08,,
5.294236,0x0E,,
5.294321,0x00,,
5.294406,0x0C,,
5.294491,0x00,,
5.294576,0x50,,
5.294661,0x41,,
5.294746,0x4E,,
5.294831,0x31,,
5.294916,0x30,,
5.295001,0x32,,
5.295086,0x36,,
5.295171,0x20,,
5.295256,0x54,,
5.295341,0x45,,
5.295426,0x53,,
5.295511,0x54,,
