Time [s],Value,Parity Error,Framing Error
0,'16' (0x10),,
8.625e-005,'0' (0x00),,
0.000172375,'0' (0x00),,
0.0002585,'225' (0xE1),,
0.000344625,U (0x55),,
0.000430875,\t (0x09),,
0.000517,'0' (0x00),,
0.000603125,'230' (0xE6),,
0.00068925,{ (0x7B),,
0.0007755,'196' (0xC4),,
0.000861625,'148' (0x94),,
0.00094775,\n (0x0A),,
0.001033875,8 (0x38),,
0.001120125,'12' (0x0C),,
0.00120625,'2' (0x02),,
0.001292375,Z (0x5A),,

5.14757575,'15' (0x0F),,
5.147661875,'0' (0x00),,
5.147748,'0' (0x00),,
5.14783425,'225' (0xE1),,
5.147920375,G (0x47),,
5.1480065,'8' (0x08),,
5.148092625,'0' (0x00),,
5.148178875,'129' (0x81),,
5.148265,'230' (0xE6),,
5.148351125,{ (0x7B),,
5.14843725,'196' (0xC4),,
5.1485235,'148' (0x94),,
5.148609625,\n (0x0A),,
5.14869575,8 (0x38),,
5.148781875,'2' (0x02),,
