Time [s],Value,Parity Error,Framing Error
0,'4' (0x04),,
8.6125e-005,'14' (0x0E),,
0.00017225,'4' (0x04),,
0.0002585,'4' (0x04),,
0.000344625,'0' (0x00),,
0.00043075,'0' (0x00),,
0.000516875,'0' (0x00),,

0.19340725,'4' (0x04),,
0.193493375,'14' (0x0E),,
0.193579625,'4' (0x04),,
0.19366575,'4' (0x04),,
0.193751875,'3' (0x03),,
0.193838,'12' (0x0C),,
0.19392425,'0' (0x00),,

0.31735975,'4' (0x04),,
0.317445875,'255' (0xFF),,
0.317532,'30' (0x1E),,
0.31761825,'8' (0x08),,
0.317704375,'0' (0x00),,
0.3177905,'161' (0xA1),,
0.317876625,'0' (0x00),,
0.317962875,'0' (0x00),,
0.318049,'0' (0x00),,
0.318135125,'20' (0x14),,
0.31822125,\r (0x0D),,
0.3183075,'0' (0x00),,
0.318393625,'15' (0x0F),,
0.31847975,8 (0x38),,
0.318565875,. (0x2E),,
0.318652125,0 (0x30),,
0.31873825,0 (0x30),,
0.318824375,. (0x2E),,
0.3189105,7 (0x37),,
0.31899675,2 (0x32),,
0.319082875,B (0x42),,
0.319169,- (0x2D),,
0.319255125,0 (0x30),,
0.319341375,6 (0x36),,
0.3194275,' ' (0x20),,
0.319513625,R (0x52),,
0.31959975,O (0x4F),,
0.319686,M (0x4D),,
0.319772125,= (0x3D),,
0.31985825,5 (0x35),,
0.319944375,0 (0x30),,
0.320030625,1 (0x31),,
0.32011675,'0' (0x00),,

0.577581375,'4' (0x04),,
0.577667625,'255' (0xFF),,
0.57775375,\n (0x0A),,
0.577839875,'8' (0x08),,
0.577926,'0' (0x00),,
0.57801225,'160' (0xA0),,
0.578098375,'0' (0x00),,
0.5781845,'0' (0x00),,
0.578270625,'0' (0x00),,
0.578356875,'20' (0x14),,
0.578443,[ (0x5B),,
0.578529125,'0' (0x00),,
0.57861525,'0' (0x00),,

0.797334,'4' (0x04),,
0.79742025,'255' (0xFF),,
0.797506375,\n (0x0A),,
0.7975925,'8' (0x08),,
0.797678625,'0' (0x00),,
0.797764875,'160' (0xA0),,
0.797851,'0' (0x00),,
0.797937125,'0' (0x00),,
0.79802325,'0' (0x00),,
0.7981095,'20' (0x14),,
0.798195625,'131' (0x83),,
0.79828175,'0' (0x00),,
0.798367875,'0' (0x00),,

1.018035875,'4' (0x04),,
1.018122,'255' (0xFF),,
1.018208125,'17' (0x11),,
1.01829425,'8' (0x08),,
1.0183805,'0' (0x00),,
1.018466625,'161' (0xA1),,
1.01855275,'0' (0x00),,
1.018638875,'0' (0x00),,
1.018725125,'0' (0x00),,
1.01881125,'20' (0x14),,
1.018897375,'136' (0x88),,
1.0189835,'0' (0x00),,
1.01906975,'16' (0x10),,
1.019155875,'6' (0x06),,
1.019242,'0' (0x00),,
1.019328125,'19' (0x13),,
1.019414375,C (0x43),,
1.0195005,'14' (0x0E),,
1.019586625,A (0x41),,
1.01967275,'158' (0x9E),,

1.25103925,'4' (0x04),,
1.2511255,'14' (0x0E),,
1.251211625,'4' (0x04),,
1.25129775,'4' (0x04),,
1.251383875,'19' (0x13),,
1.251470125,'16' (0x10),,
1.25155625,'0' (0x00),,

1.455502,'4' (0x04),,
1.455588125,'255' (0xFF),,
1.455674375,'5' (0x05),,
1.4557605,'8' (0x08),,
1.455846625,'0' (0x00),,
1.455932875,'153' (0x99),,
1.456019,'0' (0x00),,
1.456105125,'1' (0x01),,

1.67734325,'14' (0x0E),,
1.677429375,'0' (0x00),,
1.6775155,'0' (0x00),,
1.67760175,'225' (0xE1),,
1.677687875,'129' (0x81),,
1.677774,'7' (0x07),,
1.677860125,'0' (0x00),,
1.677946375,'0' (0x00),,
1.6780325,'158' (0x9E),,
1.678118625,A (0x41),,
1.67820475,'14' (0x0E),,
1.678291,C (0x43),,
1.678377125,'19' (0x13),,
1.67846325,'0' (0x00),,

1.888766625,'15' (0x0F),,
1.888852875,'0' (0x00),,
1.888939,'0' (0x00),,
1.889025125,'225' (0xE1),,
1.88911125,'189' (0xBD),,
1.8891975,'8' (0x08),,
1.889283625,'0' (0x00),,
1.88936975,'0' (0x00),,
1.889455875,'6' (0x06),,
1.889542125,'14' (0x0E),,
1.88962825,'4' (0x04),,
1.889714375,'1' (0x01),,
1.8898005,$ (0x24),,
1.88988675,'12' (0x0C),,
1.889972875,'0' (0x00),,

2.116679,'8' (0x08),,
2.11676525,'0' (0x00),,
2.116851375,'0' (0x00),,
2.1169375,'229' (0xE5),,
2.117023625,'129' (0x81),,
2.117109875,'1' (0x01),,
2.117196,'0' (0x00),,
2.117282125,'0' (0x00),,

2.320450375,'8' (0x08),,
2.3205365,'0' (0x00),,
2.320622625,'0' (0x00),,
2.320708875,'225' (0xE1),,
2.320795,'140' (0x8C),,
2.320881125,'1' (0x01),,
2.32096725,'0' (0x00),,
2.3210535,'0' (0x00),,

2.5311645,\n (0x0A),,
2.531250625,'0' (0x00),,
2.53133675,'0' (0x00),,
2.531422875,'225' (0xE1),,
2.531509125,'241' (0xF1),,
2.53159525,'3' (0x03),,
2.531681375,'0' (0x00),,
2.5317675,'0' (0x00),,
2.53185375,'229' (0xE5),,
2.531939875,'3' (0x03),,

7.763863625,'15' (0x0F),,
7.76394975,'0' (0x00),,
7.764036,'0' (0x00),,
7.764122125,'225' (0xE1),,
7.76420825,G (0x47),,
7.764294375,'8' (0x08),,
7.764380625,'0' (0x00),,
7.76446675,'128' (0x80),,
7.764552875,'158' (0x9E),,
7.764639,A (0x41),,
7.76472525,'14' (0x0E),,
7.764811375,C (0x43),,
7.7648975,'19' (0x13),,
7.764983625,'0' (0x00),,
7.765069875,'2' (0x02),,
7.765156,'17' (0x11),,
7.765242125,'0' (0x00),,
7.76532825,'0' (0x00),,
7.7654145,'229' (0xE5),,
7.765500625,C (0x43),,
7.76558675,\n (0x0A),,
7.765672875,'0' (0x00),,
7.765759125,'211' (0xD3),,
7.76584525,'158' (0x9E),,
7.765931375,A (0x41),,
7.7660175,'14' (0x0E),,
7.76610375,C (0x43),,
7.766189875,'19' (0x13),,
7.766276,'0' (0x00),,
7.766362125,'255' (0xFF),,
7.766448375,'255' (0xFF),,
7.7665345,'0' (0x00),,
