Time [s],Value,Parity Error,Framing Error
-0.190431,0x10,,
-0.190345,0x00,,
-0.190259,0x00,,
-0.190173,0xE1,,
-0.190086,0x55,,
-0.19,0x09,,
-0.189914,0x00,,
-0.189828,0xE6,,
-0.189742,0x7B,,
-0.189656,0xC4,,
-0.18957,0x94,,
-0.189483,0x0A,,
-0.189397,0x38,,
-0.189311,0x0C,,
-0.189225,0x02,,
-0.189139,0x5A,,
0.004238,0x08,,
0.004324,0x00,,
0.00441,0x00,,
0.004496,0xE1,,
0.004582,0x93,,
0.004668,0x01,,
0.004755,0x00,,
0.004841,0x00,,
0.184823,0x0F,,
0.184909,0x00,,
0.184995,0x00,,
0.185081,0xE1,,
0.185167,0x47,,
0.185254,0x08,,
0.18534,0x00,,
0.185426,0x00,,
0.185512,0xE6,,
0.185598,0x7B,,
0.185684,0xC4,,
0.18577,0x94,,
0.185857,0x0A,,
0.185943,0x38,,
0.186029,0x00,,
0.290728,0x12,,
0.290814,0x00,,
0.290901,0x00,,
0.290987,0xE1,,
0.291073,0x7D,,
0.291159,0x0B,,
0.291245,0x00,,
0.291331,0x32,,
0.291417,0x09,,
0.291504,0xE6,,
0.29159,0x7B,,
0.291676,0xC4,,
0.291762,0x94,,
0.291848,0x0A,,
0.291934,0x38,,
0.292021,0x01,,
0.292107,0x00,,
0.292193,0x03,,
0.292398,0x1B,,
0.292484,0x00,,
0.292571,0x00,,
0.292657,0xE1,,
0.292743,0x6E,,
0.292829,0x14,,
0.292915,0x00,,
0.293001,0xE6,,
0.293087,0x7B,,
0.293174,0xC4,,
0.29326,0x94,,
0.293346,0x0A,,
0.293432,0x38,,
0.293518,0x0D,,
0.293604,0x45,,
0.293691,0x70,,
0.293777,0x69,,
0.293863,0x63,,
0.293949,0x20,,
0.294035,0x34,,
0.294121,0x47,,
0.294208,0x20,,
0.294294,0x54,,
0.29438,0x6F,,
0.294466,0x75,,
0.294552,0x63,,
0.294638,0x68,,
0.294827,0x0F,,
0.294913,0x00,,
0.294999,0x00,,
0.295086,0xE1,,
0.295172,0x7D,,
0.295258,0x08,,
0.295344,0x00,,
0.29543,0x31,,
0.295516,0x06,,
0.295603,0xE6,,
0.295689,0x7B,,
0.295775,0xC4,,
0.295861,0x94,,
0.295947,0x0A,,
0.296033,0x38,,
0.734744,0x15,,
0.73483,0x00,,
0.734916,0x00,,
0.735003,0xE1,,
0.735089,0xBD,,
0.735175,0x0E,,
0.735261,0x00,,
0.735347,0x00,,
0.735433,0x0C,,
0.73552,0x0E,,
0.735606,0x0A,,
0.735692,0x01,,
0.735778,0x2B,,
0.735864,0x04,,
0.73595,0x00,,
0.736036,0xE6,,
0.736123,0x7B,,
0.736209,0xC4,,
0.736295,0x94,,
0.736381,0x0A,,
0.736467,0x38,,
0.848945,0x13,,
0.849031,0x00,,
0.849117,0x00,,
0.849204,0xE1,,
0.84929,0x7D,,
0.849376,0x0C,,
0.849462,0x00,,
0.849548,0x33,,
0.849634,0x0A,,
0.84972,0xE6,,
0.849807,0x7B,,
0.849893,0xC4,,
0.849979,0x94,,
0.850065,0x0A,,
0.850151,0x38,,
0.850237,0x49,,
0.850324,0x69,,
0.85041,0x01,,
0.850496,0x00,,
1.377673,0x15,,
1.377759,0x00,,
1.377845,0x00,,
1.377931,0xE1,,
1.378017,0xBD,,
1.378104,0x0E,,
1.37819,0x00,,
1.378276,0x00,,
1.378362,0x0C,,
1.378448,0x0E,,
1.378534,0x0A,,
1.37862,0x01,,
1.378707,0x2C,,
1.378793,0x04,,
1.378879,0x00,,
1.378965,0xE6,,
1.379051,0x7B,,
1.379137,0xC4,,
1.379224,0x94,,
1.37931,0x0A,,
1.379396,0x38,,
2.706326,0x10,,
2.706412,0x00,,
2.706498,0x00,,
2.706584,0xE1,,
2.706671,0x7D,,
2.706757,0x09,,
2.706843,0x00,,
2.706929,0x36,,
2.707015,0x07,,
2.707101,0x00,,
2.707187,0xE6,,
2.707274,0x7B,,
2.70736,0xC4,,
2.707446,0x94,,
2.707532,0x0A,,
2.707618,0x38,,
2.751906,0x20,,
2.751992,0x00,,
2.752078,0x00,,
2.752165,0xE1,,
2.752251,0x47,,
2.752337,0x19,,
2.752423,0x00,,
2.752509,0x00,,
2.752595,0xE6,,
2.752682,0x7B,,
2.752768,0xC4,,
2.752854,0x94,,
2.75294,0x0A,,
2.753026,0x38,,
2.753112,0x03,,
2.753199,0xE6,,
2.753285,0x81,,
2.753371,0x8C,,
2.753457,0xC6,,
2.753543,0x26,,
2.753629,0xC9,,
2.753715,0x72,,
2.753802,0x95,,
2.753888,0xFB,,
2.753974,0x14,,
2.75406,0x75,,
2.754146,0x89,,
2.754232,0x31,,
2.754319,0xA5,,
2.754405,0xB5,,
2.754491,0x53,,
2.754577,0x05,,
4.974046,0x1E,,
4.974133,0x00,,
4.974219,0x00,,
4.974305,0xE5,,
4.974391,0x43,,
4.974477,0x17,,
4.974563,0x00,,
4.974649,0x00,,
4.974736,0xE6,,
4.974822,0x7B,,
4.974908,0xC4,,
4.974994,0x94,,
4.97508,0x0A,,
4.975166,0x38,,
4.975253,0x1F,,
4.975339,0x02,,
4.975425,0x0D,,
4.975511,0x45,,
4.975597,0x70,,
4.975683,0x69,,
4.97577,0x63,,
4.975856,0x20,,
4.975942,0x34,,
4.976028,0x47,,
4.976114,0x20,,
4.9762,0x54,,
4.976286,0x6F,,
4.976373,0x75,,
4.976459,0x63,,
4.976545,0x68,,
5.295949,0x0A,,
5.296035,0x00,,
5.296121,0x00,,
5.296207,0xE1,,
5.296293,0xF1,,
5.296379,0x03,,
5.296466,0x00,,
5.296552,0x00,,
5.296638,0xE5,,
5.296724,0x08,,
5.29681,0x07,,
5.296896,0x00,,
5.296983,0x00,,
5.297069,0xE5,,
5.297155,0xF1,,
5.297241,0x00,,
5.297327,0x00,,
