Time [s],Value,Parity Error,Framing Error
0,'31' (0x1F),,
8.5e-005,'0' (0x00),,
0.00017,'0' (0x00),,
0.000255,'225' (0xE1),,
0.00034,'19' (0x13),,
0.000425,'24' (0x18),,
0.00051,'0' (0x00),,
0.000595,'0' (0x00),,
0.00068,'230' (0xE6),,
0.000765,{ (0x7B),,
0.00085,'196' (0xC4),,
0.000935,'148' (0x94),,
0.00102,\n (0x0A),,
0.001105,8 (0x38),,
0.00119,'1' (0x01),,
0.001275,'190' (0xBE),,
0.00136,^ (0x5E),,
0.001445,F (0x46),,
0.00153,'255' (0xFF),,
0.001615,'201' (0xC9),,
0.0017,\r (0x0D),,
0.001785,'140' (0x8C),,
0.00187,'198' (0xC6),,
0.001955,'245' (0xF5),,
0.00204,~ (0x7E),,
0.002125,'23' (0x17),,
0.00221,8 (0x38),,
0.002295,> (0x3E),,
0.00238,'166' (0xA6),,
0.002465,'157' (0x9D),,
0.00255,\n (0x0A),,
0.550611,'19' (0x13),,
0.550696,'0' (0x00),,
0.550781,'0' (0x00),,
0.550866,'225' (0xE1),,
0.550951,= (0x3D),,
0.551036,'12' (0x0C),,
0.551121,'0' (0x00),,
0.551206,+ (0x2B),,
0.551291,'4' (0x04),,
0.551376,\t (0x09),,
0.551461,'158' (0x9E),,
0.551546,A (0x41),,
0.551631,'14' (0x0E),,
0.551716,C (0x43),,
0.551801,'19' (0x13),,
0.551886,'0' (0x00),,
0.551971,'1' (0x01),,
0.552056,'0' (0x00),,
0.552141,'3' (0x03),,
