Time [s],Value,Parity Error,Framing Error
0,0x01,,
8.4e-005,0x03,,
0.000168,0x0C,,
0.000252,0x00,,
0.399986,0x01,,
0.40007,0x03,,
0.400154,0x0C,,
0.400238,0x00,,
0.799972,0x01,,
0.800056,0x03,,
0.80014,0x0C,,
0.800224,0x00,,
1.199957,0x01,,
1.200041,0x03,,
1.200125,0x0C,,
1.200209,0x00,,
1.599943,0x01,,
1.600027,0x03,,
1.600111,0x0C,,
1.600195,0x00,,
1.999929,0x01,,
2.000013,0x03,,
2.000097,0x0C,,
2.000181,0x00,,
2.399915,0x01,,
2.399999,0x03,,
2.400083,0x0C,,
2.400167,0x00,,
2.799901,0x01,,
2.799985,0x03,,
2.800068,0x0C,,
2.800152,0x00,,
3.199887,0x01,,
3.199971,0x03,,
3.200055,0x0C,,
3.200139,0x00,,
3.599873,0x01,,
3.599957,0x03,,
3.600041,0x0C,,
3.600125,0x00,,
3.999858,0x01,,
3.999942,0x03,,
4.000026,0x0C,,
4.00011,0x00,,
4.399845,0x01,,
4.399929,0x03,,
4.400013,0x0C,,
4.400097,0x00,,
4.79983,0x01,,
4.799914,0x03,,
4.799998,0x0C,,
4.800082,0x00,,
5.251342,0x01,,
5.251426,0x03,,
5.251509,0x0C,,
5.251593,0x00,,
5.718421,0x01,,
5.718505,0x08,,
5.718589,0xFC,,
5.718673,0x09,,
5.718757,0x00,,
5.718841,0xA1,,
5.718924,0x00,,
5.719008,0x00,,
5.719092,0x00,,
5.719176,0x14,,
5.71926,0x0D,,
5.719344,0xFF,,
5.719428,0x00,,
6.242296,0x01,,
6.24238,0x08,,
6.242464,0xFC,,
6.242548,0x0B,,
6.242632,0x00,,
6.242716,0xA0,,
6.242799,0x00,,
6.242883,0x00,,
6.242967,0x00,,
6.243051,0x14,,
6.243135,0x5B,,
6.243219,0xFF,,
6.243303,0x02,,
6.243387,0x03,,
6.243471,0x01,,
6.733205,0x01,,
6.733288,0x08,,
6.733372,0xFC,,
6.733456,0x09,,
6.73354,0x00,,
6.733624,0xA0,,
6.733708,0x00,,
6.733792,0x00,,
6.733876,0x00,,
6.73396,0x14,,
6.734044,0x83,,
6.734128,0xFF,,
6.734212,0x00,,
7.222273,0x01,,
7.222357,0x08,,
7.222441,0xFC,,
7.222525,0x10,,
7.222609,0x00,,
7.222693,0xA1,,
7.222777,0x00,,
7.222861,0x00,,
7.222945,0x00,,
7.223029,0x14,,
7.223113,0x88,,
7.223197,0xFF,,
7.223281,0x10,,
7.223365,0x06,,
7.223449,0xA0,,
7.223533,0x01,,
7.223617,0x01,,
7.223701,0x06,,
7.223785,0x02,,
7.223868,0x00,,
7.744088,0x01,,
7.744172,0x13,,
7.744256,0x10,,
7.74434,0x06,,
7.744424,0x8E,,
7.744508,0x45,,
7.744592,0x0E,,
7.744676,0x43,,
7.74476,0x13,,
7.744844,0x00,,
8.199465,0x01,,
8.199549,0x08,,
8.199633,0xFC,,
8.199717,0x03,,
8.199801,0x00,,
8.199885,0x99,,
8.199969,0x01,,
8.66602,0x12,,
8.666104,0x00,,
8.666188,0x00,,
8.666272,0xE1,,
8.666356,0x01,,
8.66644,0x0B,,
8.666524,0x00,,
8.666608,0x04,,
8.666692,0x00,,
8.666776,0x08,,
8.66686,0x50,,
8.666944,0x41,,
8.667028,0x4E,,
8.667112,0x31,,
8.667196,0x30,,
8.66728,0x32,,
8.667364,0x36,,
8.667448,0x41,,
9.138666,0x0D,,
9.13875,0x00,,
9.138834,0x00,,
9.138918,0xE1,,
9.139002,0x3D,,
9.139086,0x06,,
9.13917,0x00,,
9.139254,0x24,,
9.139338,0x0C,,
9.139422,0x03,,
9.139505,0x18,,
9.139589,0x11,,
9.139673,0xC0,,
9.615927,0x07,,
9.616011,0x00,,
9.616095,0x00,,
9.616179,0xE5,,
9.616263,0x01,,
9.616347,0x00,,
9.616431,0x00,,
10.06641,0x08,,
10.066494,0x00,,
10.066578,0x00,,
10.066662,0xE1,,
10.066746,0x0C,,
10.06683,0x01,,
10.066914,0x00,,
10.066997,0x03,,
10.519489,0x17,,
10.519573,0x00,,
10.519657,0x00,,
10.519741,0xE5,,
10.519825,0x03,,
10.519909,0x10,,
10.519993,0x00,,
10.520077,0x8E,,
10.52016,0x45,,
10.520244,0x0E,,
10.520328,0x43,,
10.520412,0x13,,
10.520496,0x00,,
10.52058,0x07,,
10.520664,0x16,,
10.520748,0x00,,
10.520832,0x00,,
10.520916,0x00,,
10.521,0x00,,
10.521084,0x00,,
10.521168,0x01,,
10.521252,0x05,,
10.521336,0x00,,
