Time [s],Value,Parity Error,Framing Error
4.904246,0x04,,
4.904332,0x0E,,
4.904418,0x04,,
4.904505,0x04,,
4.904591,0x00,,
4.904677,0x00,,
4.904763,0x00,,
5.337656,0x04,,
5.337742,0x0E,,
5.337829,0x04,,
5.337915,0x04,,
5.338001,0x03,,
5.338087,0x0C,,
5.338173,0x00,,
5.71976,0x04,,
5.719846,0xFF,,
5.719932,0x1E,,
5.720018,0x08,,
5.720104,0x00,,
5.72019,0xA1,,
5.720276,0x00,,
5.720363,0x00,,
5.720449,0x00,,
5.720535,0x14,,
5.720621,0x0D,,
5.720707,0x00,,
5.720793,0x0F,,
5.72088,0x38,,
5.720966,0x2E,,
5.721052,0x30,,
5.721138,0x30,,
5.721224,0x2E,,
5.72131,0x37,,
5.721397,0x32,,
5.721483,0x42,,
5.721569,0x2D,,
5.721655,0x30,,
5.721741,0x36,,
5.721827,0x20,,
5.721913,0x52,,
5.722,0x4F,,
5.722086,0x4D,,
5.722172,0x3D,,
5.722258,0x35,,
5.722344,0x30,,
5.72243,0x31,,
5.722517,0x00,,
6.243974,0x04,,
6.24406,0xFF,,
6.244146,0x0A,,
6.244232,0x08,,
6.244318,0x00,,
6.244404,0xA0,,
6.244491,0x00,,
6.244577,0x00,,
6.244663,0x00,,
6.244749,0x14,,
6.244835,0x5B,,
6.244921,0x00,,
6.245008,0x00,,
6.734619,0x04,,
6.734705,0xFF,,
6.734791,0x0A,,
6.734877,0x08,,
6.734964,0x00,,
6.73505,0xA0,,
6.735136,0x00,,
6.735222,0x00,,
6.735308,0x00,,
6.735394,0x14,,
6.735481,0x83,,
6.735567,0x00,,
6.735653,0x00,,
7.224622,0x04,,
7.224709,0xFF,,
7.224795,0x11,,
7.224881,0x08,,
7.224967,0x00,,
7.225053,0xA1,,
7.225139,0x00,,
7.225225,0x00,,
7.225312,0x00,,
7.225398,0x14,,
7.225484,0x88,,
7.22557,0x00,,
7.225656,0x10,,
7.225742,0x06,,
7.225829,0x00,,
7.225915,0x13,,
7.226001,0x43,,
7.226087,0x0E,,
7.226173,0x45,,
7.226259,0x8E,,
7.745279,0x04,,
7.745365,0x0E,,
7.745451,0x04,,
7.745537,0x04,,
7.745624,0x13,,
7.74571,0x10,,
7.745796,0x00,,
8.20038,0x04,,
8.200466,0xFF,,
8.200552,0x05,,
8.200638,0x08,,
8.200724,0x00,,
8.20081,0x99,,
8.200896,0x00,,
8.200983,0x01,,
8.679068,0x0E,,
8.679155,0x00,,
8.679241,0x00,,
8.679327,0xE1,,
8.679413,0x81,,
8.679499,0x07,,
8.679585,0x00,,
8.679671,0x00,,
8.679758,0x8E,,
8.679844,0x45,,
8.67993,0x0E,,
8.680016,0x43,,
8.680102,0x13,,
8.680188,0x00,,
9.140584,0x0F,,
9.14067,0x00,,
9.140756,0x00,,
9.140842,0xE1,,
9.140929,0xBD,,
9.141015,0x08,,
9.141101,0x00,,
9.141187,0x00,,
9.141273,0x06,,
9.141359,0x0E,,
9.141446,0x04,,
9.141532,0x01,,
9.141618,0x24,,
9.141704,0x0C,,
9.14179,0x00,,
9.62337,0x08,,
9.623456,0x00,,
9.623542,0x00,,
9.623628,0xE5,,
9.623714,0x81,,
9.6238,0x01,,
9.623887,0x00,,
9.623973,0x00,,
10.067973,0x08,,
10.06806,0x00,,
10.068146,0x00,,
10.068232,0xE1,,
10.068318,0x8C,,
10.068404,0x01,,
10.06849,0x00,,
10.068576,0x00,,
10.522047,0x0A,,
10.522133,0x00,,
10.522219,0x00,,
10.522306,0xE1,,
10.522392,0xF1,,
10.522478,0x03,,
10.522564,0x00,,
10.52265,0x00,,
10.522736,0xE5,,
10.522823,0x03,,
15.754522,0x0F,,
15.754608,0x00,,
15.754694,0x00,,
15.754781,0xE1,,
15.754867,0x47,,
15.754953,0x08,,
15.755039,0x00,,
15.755125,0x80,,
15.755211,0x8E,,
15.755298,0x45,,
15.755384,0x0E,,
15.75547,0x43,,
15.755556,0x13,,
15.755642,0x00,,
15.755728,0x02,,
15.755815,0x11,,
15.755901,0x00,,
15.755987,0x00,,
15.756073,0xE5,,
15.756159,0x43,,
15.756245,0x0A,,
15.756331,0x00,,
15.756418,0xD3,,
15.756504,0x8E,,
15.75659,0x45,,
15.756676,0x0E,,
15.756762,0x43,,
15.756848,0x13,,
15.756935,0x00,,
15.757021,0xFF,,
15.757107,0xFF,,
15.757193,0x00,,
